,STT US Equity,STT US Equity,STT US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2020-09-01,68.58,24166.4433,1656196.0
2020-09-02,69.88,24624.5415,3334851.0
2020-09-03,67.4,23750.6311,2656486.0
2020-09-04,68.35,24085.3951,3194642.0
2020-09-08,65.55,23098.722,2112695.0
2020-09-09,65.79,23183.294,3130382.0
2020-09-10,64.23,22633.5761,2635515.0
2020-09-11,64.91,22873.1968,2435308.0
2020-09-14,64.43,22704.0528,2920818.0
2020-09-15,63.2,22270.6214,1707092.0
2020-09-16,63.32,22312.9074,3820843.0
2020-09-17,62.37,21978.1433,3152206.0
2020-09-18,61.95,21830.1423,4285342.0
2020-09-21,59.92,21114.8043,3291407.0
2020-09-22,58.88,20748.3258,3396955.0
2020-09-23,57.77,20357.1804,1633045.0
2020-09-24,57.68,20325.4659,1279631.0
2020-09-25,58.5,20614.4201,1458649.0
2020-09-28,60.49,21315.6628,2130203.0
2020-09-29,59.89,21104.2328,1290991.0
2020-09-30,59.33,20906.8982,2789914.0
2020-10-01,58.75,20702.5159,2420058.0
2020-10-02,59.68,21030.2324,1847176.0
2020-10-05,61.39,21632.8077,1337118.0
2020-10-06,61.02,21502.4259,1587822.0
2020-10-07,63.41,22344.6219,1877697.0
2020-10-08,65.0,22904.9112,1714204.0
2020-10-09,66.43,23408.8193,2859538.0
2020-10-12,67.22,23687.2021,1729193.0
2020-10-13,66.09,23288.9925,2127842.0
2020-10-14,66.03,23267.866,1611339.0
2020-10-15,66.95,23592.0586,2170294.0
2020-10-16,66.58,23461.6768,3625093.0
2020-10-19,64.35,22675.8621,2145788.0
2020-10-20,64.58,22756.9103,1723878.0
2020-10-21,64.0,22552.528,1831711.0
2020-10-22,65.6,23116.3412,1696506.0
2020-10-23,65.31,23041.2175,980972.0
2020-10-26,63.51,22406.1816,1371134.0
2020-10-27,61.65,21749.9779,1755017.0
2020-10-28,58.48,20631.6092,2515595.0
2020-10-29,58.8,20744.5045,2409391.0
2020-10-30,58.9,20779.7842,2706094.0
2020-11-02,59.68,21054.9664,2218342.0
2020-11-03,62.38,22007.5202,1969474.0
2020-11-04,60.42,21316.0367,1920667.0
2020-11-05,62.83,22166.2792,1625423.0
2020-11-06,62.23,21954.6006,1255834.0
2020-11-09,70.1,24731.1184,3046450.0
2020-11-10,70.05,24713.4785,1845010.0
2020-11-11,68.48,24159.5862,2064820.0
2020-11-12,66.9,23602.1658,1853507.0
2020-11-13,68.52,24173.6981,1318192.0
